id,relation_type,source_key,target_key,formula_name,payload_json
618,SARG_SCORE_TO_GUIDANCE,f598e1b96b51eec5,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21463807450377898, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40311564714866277, ""reference_distance_delta"": 0.012336195226411634, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""f598e1b96b51eec5""}"
619,SARG_SCORE_TO_GUIDANCE,e52ed40f5a95219d,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21466904668507314, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031192897050256, ""reference_distance_delta"": 0.012310251667521015, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""e52ed40f5a95219d""}"
620,SARG_SCORE_TO_GUIDANCE,1ac933fa8867b1ae,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21469983675907173, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031229074995224, ""reference_distance_delta"": 0.012284462287207056, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""1ac933fa8867b1ae""}"
621,SARG_SCORE_TO_GUIDANCE,fd9afc2b356ecf93,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21473044622820325, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40312650071280426, ""reference_distance_delta"": 0.012258825915484333, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""fd9afc2b356ecf93""}"
622,SARG_SCORE_TO_GUIDANCE,950da230bf066711,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2147608765795357, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40313006952413205, ""reference_distance_delta"": 0.012233341393186402, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""950da230bf066711""}"
623,SARG_SCORE_TO_GUIDANCE,b5a868ce8dcd567c,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2147911292849638, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031336141108862, ""reference_distance_delta"": 0.012208007572622845, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""b5a868ce8dcd567c""}"
624,SARG_SCORE_TO_GUIDANCE,a3a9e13e93a09f75,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2148212058013847, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40313713464926315, ""reference_distance_delta"": 0.012182823316401595, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""a3a9e13e93a09f75""}"
625,SARG_SCORE_TO_GUIDANCE,595aecbdf0942f1f,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21485110757087683, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40314063131373506, ""reference_distance_delta"": 0.012157787498167334, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""595aecbdf0942f1f""}"
626,SARG_SCORE_TO_GUIDANCE,c77af1434d1e5e1f,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21488083602087804, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.403144104277236, ""reference_distance_delta"": 0.012132899002214838, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""c77af1434d1e5e1f""}"
627,SARG_SCORE_TO_GUIDANCE,6e16554994fe585f,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21491039256435557, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40314755371105077, ""reference_distance_delta"": 0.012108156723566285, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""6e16554994fe585f""}"
628,SARG_SCORE_TO_GUIDANCE,1d9a06f39d2c84bc,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.14533992040679833, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.42084264653345405, ""reference_distance_delta"": 0.012083634290809187, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C07"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""1d9a06f39d2c84bc""}"
629,SARG_SCORE_TO_GUIDANCE,3a36e7670f2d7806,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2149921982837203, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4036771048282593, ""reference_distance_delta"": 0.01124589573389441, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""3a36e7670f2d7806""}"
630,SARG_SCORE_TO_GUIDANCE,2d5790153a3526f5,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2150211739939733, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031580752552118, ""reference_distance_delta"": 0.012030749114449901, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""2d5790153a3526f5""}"
631,SARG_SCORE_TO_GUIDANCE,bbb7d3588506ad26,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2150499837626485, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031614319916109, ""reference_distance_delta"": 0.012006602443511042, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""bbb7d3588506ad26""}"
632,SARG_SCORE_TO_GUIDANCE,66db0611e7768269,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2150786289293618, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40316476603936546, ""reference_distance_delta"": 0.011982596464407805, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""66db0611e7768269""}"
633,SARG_SCORE_TO_GUIDANCE,96624704e4f51de7,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.14340474054685515, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4210745042102436, ""reference_distance_delta"": 0.01195873013398998, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C07"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""96624704e4f51de7""}"
634,SARG_SCORE_TO_GUIDANCE,1e15b426335f1e83,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2151354307482879, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40317136671828513, ""reference_distance_delta"": 0.011935002417966387, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""1e15b426335f1e83""}"
635,SARG_SCORE_TO_GUIDANCE,49b77385645bdbf3,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.14344239334207887, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4210844490715832, ""reference_distance_delta"": 0.011911412292636009, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C03"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.9, ""energy_weight_bias"": 0.35, ""context_penalty_weight"": 0.25}, ""growth_state_hash"": ""49b77385645bdbf3""}"
636,SARG_SCORE_TO_GUIDANCE,59a934514b17877d,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.14346105993435543, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.42108937397122564, ""reference_distance_delta"": 0.01188795874332574, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C00"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.15, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""59a934514b17877d""}"
637,SARG_SCORE_TO_GUIDANCE,531d4b0506c0f173,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21521943168745705, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.40318110159451814, ""reference_distance_delta"": 0.011864640764730377, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C05"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""531d4b0506c0f173""}"
638,SARG_SCORE_TO_GUIDANCE,3baccb63ca4dc26f,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21524711663213247, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031843028790611, ""reference_distance_delta"": 0.011841457360449616, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""3baccb63ca4dc26f""}"
639,SARG_SCORE_TO_GUIDANCE,053d63cd1ec13601,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.21527464598426554, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031874825849609, ""reference_distance_delta"": 0.011818407544152159, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""053d63cd1ec13601""}"
640,SARG_SCORE_TO_GUIDANCE,1d5575c91617d9ea,R002,Score_r(t)->g_t,"{""preferred_temp_low_c"": 5.0, ""preferred_temp_high_c"": 24.0, ""preferred_temp_position"": ""center_band"", ""heat_production_feedback"": 0.2153020209801655, ""comfort_weight_bias"": 1.0, ""gas_weight_bias"": 1.0, ""energy_weight_bias"": 1.0, ""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""diet_phase_guidance"": ""phase=P4;diet_like=2"", ""growth_priority"": ""maintain_efficiency"", ""best_reference_id"": ""R002"", ""reference_score"": 0.4031906408658132, ""reference_distance_delta"": 0.011795490337466772, ""confidence"": 0.5, ""biological_phase"": ""P4"", ""climate_context_id"": ""C06"", ""top_k_reference_ids"": [""R002"", ""R019"", ""R030""], ""reason_code"": ""SARG:P4:simulator_reference:risk_heat=False:risk_cold=False:diet=2"", ""reference_generation_mode"": ""growth_simulator_generated"", ""status"": ""SARG_POLICY"", ""ccll_prior"": {""ventilation_bias"": 0.45, ""heating_bias"": 0.0, ""comfort_weight_bias"": 0.55, ""energy_weight_bias"": 0.7, ""context_penalty_weight"": 0.1}, ""growth_state_hash"": ""1d5575c91617d9ea""}"
